date,city,state,killed,injured,type,description,source_link,notes
1997-03,Greensboro,North Carolina,,,BOMB,"The Piedmont-Carolina Medical clinic was set on fire causing $50,000 in damage.",http://www.feminist.org/rrights/pdf/aavw8.pdf,
1997-03,Bakersfield,California,,,BOMB,"A pick-up truck loaded with 13 gas cans and 3 propane tanks was rammed into the clinic, then set on fire. ",http://www.feminist.org/rrights/pdf/aavw1.pdf,
1998-01-29,Birmingham,Alabama,1,1,BOMB,"A police officer was killed and a nurse was severely injured. Eric Rudolph, who also set off bombs in Atlanta, admitted responsibility.",Wikipedia - Anti Abortion Violence - Murders in US,
1998-01-29,Birmingham,Alabama,1,,BOMB,Eric Rudolph killed a security guard at an abortion clinic. He was also responsible for detonating bombs in Atlanta.,http://www.nytimes.com/1999/01/30/us/as-clinic-blast-is-recalled-chilling-evidence-emerges.html,
1999-03,Asheville,North Carolina,,,BOMB,"An explosive device went off outside Femcare clinic, but caused no injuries and little damage, as it only partially detonated.",http://www.cnn.com/US/9903/13/clinic.blast.03/index.html,
1999-10,Rapid City,South Dakota,,,BOMB,A Planned Parenthood clinic was damaged by an explosive device in the early morning hours. ,http://www.feminist.org/rrights/pdf/aavw35.pdf,
2001-06,Tacoma,Washington,,,BOMB,An explosive device went off at a medical clinic where a doctor occasionally performed abortions.,http://www.nytimes.com/2001/06/12/us/blast-damages-clinic-used-for-abortions.html,
2007-04-25,Austin,Texas,,,BOMB,A bomb was left outside an Austin women's clinic that performs abortions.,http://www.freerepublic.com/focus/f-news/1913747/posts,
2000-09-30,Rockford,Illinois,,,OTHER,"A priest drove his car into a clinic, and then preceded to hit the building with an ax until the owner fired his gun twice to stop him.",http://abcnews.go.com/US/story?id=95561,
2009-01-22,St. Paul,Minnesota,,,OTHER,The man accused of driving into the entrance of the Planned Parenthood clinic in St. Paul told police that Jesus told him to do it.,http://www.startribune.com/man-charged-with-driving-into-planned-parenthood-facility/38230064/?elr=KArksi8cyaiUjc7YUiD3aPc%3A_Yyc%3AaUU,
2013-04-11,Bloomington,Indiana,,,OTHER,"A man took an ax to a Planned Parenthood clinic in Bloomington, Indiana, and then vandalized it with red paint. No one was injured.",http://rhrealitycheck.org/article/2013/04/11/indiana-man-attacks-planned-parenthood-with-ax-because-of-religious-beliefs/,
2014-03-03,Kalispell,Montana,,,OTHER,"All Families Healthcare, the only facility in the area to provide abortions, was ransacked. The clinic owner closed her business after.",http://www.dailyinterlake.com/news/local_montana/klundt-gets-years-has-to-pay/article_619d733e-1607-11e5-8548-ab2174bbf915.html,
2015-08,Metairie,Louisiana,,,OTHER,"A man accused of removing signs at a clinic in Metairie, Louisiana, was charged with committing a hate crime.",http://rhrealitycheck.org/article/2015/08/14/new-orleans-abortion-clinic-vandal-charged-hate-crime/,
2015-10-21,Claremont,New Hampshire,,,OTHER,"An intruder used a hatchet to destroy computers, plumbing fixtures, phones, and medical equipment inside a Planned Parenthood clinic.",http://bigstory.ap.org/article/816d1ad6fb95489eb42df19acd34c151/intruder-hatchet-smashes-planned-parenthood-clinic,
1993-03-10,Pensacola,Florida,1,,SHOOTING,Dr. David Gunn was fatally shot during a protest. He had been the subject of wanted-style posters distributed by Operation Rescue.,Wikipedia - Anti Abortion Violence - Murders in US,
1994-06-29,Pensacola,Florida,2,,SHOOTING,"Dr. John Britton and James Barrett, a clinic escort, were both shot to death outside a clinic.",Wikipedia - Anti Abortion Violence - Murders in US,
1994-12-30,Brookline,Massachusetts,2,5,SHOOTING,Shannon Lowney and Lee Ann Nichols were killed and five others were wounded in two clinic attacks.,http://www.nytimes.com/1994/12/31/us/anti-abortion-killings-overview-gunman-kills-2-abortion-clinics-boston-suburb.html,
1997-10-28,Rochester,New York,,,SHOOTING,"A sniper shot at Dr. David Gandell's residence in Rochester, New York. Gandell is a well-known abortion provider.",https://books.google.com/books?id=VCYU4Z_QgoYC&pg=PT105&lpg=PT105&dq=%22david+gandell%22+shooting&source=bl&ots=d2VhEgcvM9&sig=m7J54TPhNd2u_Ltz_PKa_ZCGTiE&hl=en&sa=X&ved=0ahUKEwjNuvP-5LXJAhVGcj4KHR12BaMQ6AEITDAH#v=onepage&q=%22david%20gandell%22%20shooting&f=false,
1998-10-23,Amherst,New York,1,,SHOOTING,"Dr. Barnett Slepian, who performed abortions, was shot to death by a sniper in his western New York home.",http://www.cnn.com/US/9810/24/doctor.killed.02/,
2009-05-31,Wichita,Kansas,1,,SHOOTING,Dr. George Tiller  was killed outside of his church. Tiller had been shot before by an anti-abortion extremist in 1993.,http://www.nytimes.com/2010/01/29/us/29roeder.html?_r=0,
2015-11-28,Colorado Springs,Colorado,3,9,SHOOTING,"Officer Garrett Swasey, Ke’Arre Stewart and Jennifer Markovsky were killed in an attack. Nine others were injured, including 5 officers.",Wikipedia - Anti Abortion Violence - Murders in US,
1996-12-18,New Orleans,Louisiana,,1,STABBING,"Dr. Calvin Jackson was stabbed 15 times, losing 14 pints of blood, outside the Orleans Womens Clinic. The man served no jail time.",https://books.google.com/books?id=D1AnBgAAQBAJ&pg=PT397&lpg=PT397&dq=dr+jackson+new+orleans+abortion+stabbing&source=bl&ots=mtZdZbeMXg&sig=vVca18Zrfy8ZDid0klxeOQ_dKyU&hl=en&sa=X&ved=0ahUKEwiNhdnah7XJAhWIOj4KHSSfAncQ6AEIODAE#v=onepage&q=dr%20jackson%20new%20orleans%20abortion%20stabbing&f=false,
